S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Var Z1,Zone 2,Var Z2,Zone 3,Var Z3
525,303,432,507,489,462,445,675,417,0,309,387,435,57,492,69,395.6666666666667,167.87243834398652,453.0,73.50510186374821,357.44444444444446,199.2843368495885,210.8463683368844,136.77925469420583
504,252,240,426,279,378,279,607,417,0,282,387,405,66,360,81,325.46666666666664,149.6319336089578,346.5,97.42304655470389,311.44444444444446,174.63429159952847,185.36620009187482,102.95206369497689
441,255,306,390,174,453,417,444,498,0,396,445,330,36,396,63,332.06666666666666,147.78022721445367,336.5,101.10514329152598,329.1111111111111,171.93502935989412,180.9489646270401,112.3219825143669
207,138,246,321,402,393,459,444,297,0,348,357,369,57,159,63,279.8,135.7577253787054,284.5,96.48963674923851,276.6666666666667,156.4786105368895,159.5192417929018,90.08890885018938
279,138,309,372,465,534,453,382,297,0,348,357,345,57,285,102,308.06666666666666,141.40931919628053,349.5,128.60112752227332,280.44444444444446,142.80998339760666,183.82532862098242,89.31295601951255
432,225,381,291,234,414,453,279,379,0,310,288,333,21,147,90,279.1333333333333,132.46024141437897,329.5,83.48802309313594,245.55555555555554,147.57153527930566,167.19785824923744,81.02625484770775
540,324,327,117,222,204,361,279,432,0,207,360,381,27,141,78,261.46666666666664,145.0580879816389,289.0,133.52153384379613,243.11111111111111,149.47273585986207,161.5082515494352,75.7978027627885
507,177,285,126,288,255,270,237,432,0,195,360,300,159,321,78,260.8,119.67689835553058,273.0,119.91246807567593,252.66666666666666,118.82573608253205,152.82563278517685,78.22228559566817
507,570,255,147,249,465,189,195,346,0,246,322,288,150,180,123,273.93333333333334,145.3095393366252,365.5,155.5996465291615,212.88888888888889,98.66378874681705,180.7476242233195,66.51872504844127
420,216,279,267,174,534,756,195,330,0,180,213,333,39,180,132,274.4,182.43311102976892,315.0,124.00806425390246,247.33333333333334,208.29359621030653,196.27770367658965,58.95305793124617
201,240,213,279,294,285,948,258,330,0,180,213,264,9,117,78,255.4,207.49901204584083,252.0,36.16628264005025,257.6666666666667,266.22338155933807,180.29967068194694,74.93349552757752
207,324,291,108,339,291,948,330,271,0,193,225,216,18,216,120,265.1333333333333,208.46929963159778,260.0,79.76214641043707,268.55555555555554,261.07815394846,197.8675443216437,59.722798677725606
120,255,267,165,222,477,648,330,213,0,129,201,210,57,252,171,236.4,154.60608008742733,251.0,113.09730323929037,226.66666666666666,176.27881955079636,187.33536002914244,35.333594251810524
234,516,189,132,318,300,318,327,213,0,177,201,462,123,138,195,243.2,129.32037735794,281.5,122.35705946123419,217.66666666666666,127.52341832864356,189.17345911931332,46.67335819108677
321,369,279,147,291,153,180,234,232,0,216,229,264,84,216,177,214.33333333333334,89.86854597441507,260.0,82.80700453464067,183.88888888888889,81.0684819484866,160.40062643591614,52.15058468905336
387,345,276,60,222,354,162,234,345,0,165,201,231,51,240,123,218.2,112.60976867039555,274.0,110.08632975987527,181.0,97.95917517006765,151.26992289013185,47.51642272744828
171,84,126,96,201,390,201,214,345,0,165,201,264,105,369,90,195.46666666666667,106.61823900669572,178.0,103.10674080776678,207.11111111111111,107.32861733370756,130.69496855778746,46.30026007019654
162,201,84,174,210,225,201,189,253,0,195,259,156,51,429,36,185.93333333333334,95.3411185632353,176.0,46.2709412050371,192.55555555555554,116.67439127866456,105.75815063218954,61.65163976708339
213,273,153,174,174,168,159,189,84,0,216,204,126,48,102,54,152.2,68.08054053839467,192.5,40.30198506277327,125.33333333333333,69.55253809571262,91.42684684613157,43.35587244853924
150,207,174,186,204,183,108,196,84,0,282,204,180,48,147,72,156.86666666666667,68.7060081474361,184.0,19.1049731745428,138.77777777777777,82.4995323593181,99.19089160470092,40.80509663698104
180,501,255,150,174,243,99,132,154,0,234,226,171,66,90,66,178.33333333333334,110.05433001729445,250.5,118.1450379829809,130.22222222222223,71.37503108040231,118.12922111687594,46.21397583810205
138,297,192,72,45,309,117,132,192,0,243,237,210,75,216,90,165.0,88.69723783748849,175.5,101.65751324914456,158.0,78.10249675906654,114.5657459458295,35.66636869483144
48,360,225,114,168,183,276,169,192,0,243,237,141,72,198,108,175.06666666666666,88.919789073574,183.0,96.87104830649868,169.77777777777777,82.77651005740668,123.9954852467469,36.943315055807645
198,192,183,168,219,141,276,165,204,0,247,190,126,105,135,36,169.93333333333334,63.095130997213694,183.5,24.45914961727002,160.88888888888889,77.66372590204293,89.676154776849,57.818379795843455
273,216,153,135,138,153,237,165,252,0,159,138,69,75,114,18,151.8,70.34600201859378,178.0,50.27922035990614,134.33333333333334,76.15481308200786,80.04866733953126,55.05280062962339
171,219,243,147,114,195,225,127,252,0,81,138,105,69,72,93,143.86666666666667,70.82830570392665,181.5,43.25794724671988,118.77777777777777,74.43084452889106,102.56499079019777,30.57523321953356
324,138,252,171,243,291,162,108,213,0,138,148,129,90,189,180,173.06666666666666,79.95871156763067,236.5,64.42243398071824,130.77777777777777,58.463241590626424,144.3417927447658,45.61362102248227
366,414,237,243,183,198,153,108,339,0,276,300,138,105,117,90,211.8,109.63649027582011,273.5,86.07119146381093,170.66666666666666,104.23477773223718,137.1454967586067,53.39393897096372
234,264,177,72,297,186,216,78,339,0,276,300,162,114,84,60,186.6,97.16295590398637,205.0,72.59476565152615,174.33333333333334,108.83422664258191,114.58765196799546,53.13257020379822
120,231,228,69,246,126,216,36,273,0,219,240,159,114,63,39,156.0,84.12134093082445,170.0,67.69785816405124,146.66666666666666,92.30866096357855,93.04044697694148,48.179614219407576
0,0,0,0,0,0,175,36,129,0,138,135,114,48,48,93,54.86666666666667,62.33229945666657,0.0,0.0,91.44444444444444,55.952581334775715,70.06632204111108,16.500486998475754
0,0,0,0,0,0,135,73,129,0,111,135,120,105,150,75,63.86666666666667,61.904083512766384,0.0,0.0,106.44444444444444,43.06612773427269,66.92358339314436,5.766819577815464
0,0,0,0,0,0,72,111,154,0,255,117,156,96,159,36,74.66666666666667,79.6414185933146,0.0,0.0,124.44444444444444,66.15656700604023,63.43602841999376,19.50621748366318
0,0,0,0,0,0,90,111,147,0,276,90,114,39,102,102,64.6,76.8676785131436,0.0,0.0,107.66666666666667,72.18648688562762,81.15589283771453,15.566664951536486
0,0,0,0,0,0,63,153,147,0,276,90,84,30,111,72,63.6,78.68316211236049,0.0,0.0,106.0,76.31513611335565,71.42772070412016,6.170957382303349
0,0,0,0,0,0,63,225,208,0,184,90,114,30,90,18,66.93333333333334,79.41827385572053,0.0,0.0,111.55555555555556,74.39251920442167,54.78386906301796,26.504819717626496
0,0,0,0,0,0,76,225,273,0,174,72,240,72,51,36,78.86666666666666,96.08181698716753,0.0,0.0,131.44444444444446,92.06050077242213,70.31616121794472,25.262482600242606
0,0,0,0,0,0,63,142,273,0,123,72,198,81,81,78,68.86666666666666,81.7156587741229,0.0,0.0,114.77777777777777,76.54741127457875,76.1941084802632,5.39877039581923
0,0,0,0,0,0,72,87,232,0,45,72,78,48,60,90,46.266666666666666,59.81356219305302,0.0,0.0,77.11111111111111,59.86919898958329,65.36007628657323,18.279751549247504
0,0,0,0,0,0,180,87,135,0,84,63,27,51,93,60,48.0,55.76020086047036,0.0,0.0,80.0,51.20546845796843,54.58673362015679,4.968753634669823
0,0,0,0,0,0,171,78,135,0,84,63,45,39,96,81,47.4,53.935517055090884,0.0,0.0,79.0,48.49742261192856,60.7785056850303,14.545557627493697
0,0,0,0,0,0,171,57,145,0,93,105,108,39,69,111,52.46666666666667,57.644735714161754,0.0,0.0,87.44444444444444,49.795383791206795,73.70380079360947,26.45698340321802
0,0,0,0,0,0,126,57,90,0,54,159,96,72,78,111,48.8,51.75867077118576,0.0,0.0,81.33333333333333,42.64843360416522,70.51955692372859,28.6494693019086
0,0,0,0,0,0,81,88,90,0,111,159,9,51,102,39,46.06666666666667,52.44739163093708,0.0,0.0,76.77777777777777,47.18704572179336,45.83801943253459,5.492254854927153
0,0,0,0,0,0,153,81,81,0,45,133,48,42,165,51,49.86666666666667,57.87211955874972,0.0,0.0,83.11111111111111,53.09413954779744,52.912928741805466,3.5370695290743455
0,0,0,0,0,0,99,81,84,0,36,36,57,9,138,51,36.0,43.927212522535505,0.0,0.0,60.0,42.14261501141095,43.6424041741785,6.127035000524065
0,0,0,0,0,0,108,105,84,0,36,36,30,18,60,57,31.8,38.29046878793729,0.0,0.0,53.0,36.3318042491699,42.3634895959791,10.683386600295375
0,0,0,0,0,0,108,180,94,0,64,49,69,18,30,99,40.8,51.90529838080115,0.0,0.0,68.0,51.387417396349726,63.90176612693372,25.22890443899615
